,id,breed_code
5407,886c611904fc29caee5f9cd908b90dc4.jpg,61
4421,6e6cb711d60ba4af0d18224abc2c45ac.jpg,113
9587,f08adfc00c474e9296e74e8cc0c3bf5c.jpg,60
1922,2f7537cddd67e8464b394a765a05302d.jpg,9
3267,512abc982895061782c9bd51d38cf5c6.jpg,81
8219,cd7ad93d62286e4d6ecd2c2c61e0bdaa.jpg,96
946,17193d29b9833d783133f4b13f12f513.jpg,39
4846,79a48334e53e8c42cb533363b40a9288.jpg,65
8000,c81778e436da96e7a89d9ef84b367525.jpg,87
4299,6b249b82cb69fc3904c8827300a7fb4a.jpg,93
5287,85435798dee261580b06866dcb693210.jpg,78
9451,ecf4a6af2c19e363bca3324a99cfecff.jpg,38
9427,ec760d9e97fdc7816c3cb44ea9aa33ed.jpg,31
2574,4014d055cbed26cf6cf900a12cdad204.jpg,84
2185,36c15b6af1207f3fbd83aa695f342711.jpg,22
2235,37e96534152743e871174b98424ce638.jpg,20
502,0c1a1b2adfd0aa2fef3eb974b9b95734.jpg,28
1374,21ba1eb45659b77daba4ffd4c410c904.jpg,102
3611,59ccf4682b2015587aed297f91f8ddb2.jpg,79
2902,47de77a8df3e9133f254478db1f97505.jpg,70
8381,d247349a06da617a7d7c54281121cebe.jpg,35
360,088cdda83ef0920d130398f7724b391f.jpg,100
8525,d5fc64a6e484b5ea765358bb74aee4b2.jpg,117
2572,3ffa337507d37b6c29e43afd6773f400.jpg,55
6,00290d3e1fdd27226ba27a8ce248ce85.jpg,10
2772,443ce8abc282ddf4777f33c5ba25159d.jpg,3
5296,8573ec2d5e4700ce8b74091d95b50603.jpg,79
2781,4475dfcfe9911f20877bf1946a3bd113.jpg,23
8919,dfd42ce694fd4af24a71392b94176b56.jpg,69
352,086e8ca78ec3303a8f06df003ecb6612.jpg,30
5433,8907b3f7a888cbc5e6ac21c47922df2b.jpg,17
8510,d5a9fac2fa046e3649c845aa9d286e98.jpg,110
3192,4edfc93408cef61336881d3016df6e6d.jpg,97
10004,faf615fd8d21d9906b8ab5091e4f5b82.jpg,96
7096,b20fd8f849b2460dec6c505d2c342ddc.jpg,90
4702,760dd9cebbf15001a231965bab703524.jpg,57
4375,6d2fe8f0bb9bbc3232567cd6d930a1e4.jpg,108
8463,d47fcfb7f8b4de12cb78b54eb1c62dcb.jpg,97
8091,ca2b3c1fd1ff7fb5e8c714359ac512d4.jpg,55
6297,9ef443276459fc1a2a45ea2f3456375a.jpg,78
2754,43c30ff95d2bbbceb7f733118e28f66c.jpg,27
9734,f523e20f7fac8e1d9909d0956a468467.jpg,73
2943,48b3e345543f3c0e79003f87ca1f0518.jpg,115
8093,ca2d7e7f3a7e7458cd396e18cf53a08e.jpg,50
2490,3e0acf21aed098d76ea82f554a2f992e.jpg,28
6712,a877b4bdeeb0b02ef99eb24f3faf6213.jpg,93
9435,ecc1a9dcc73f00726ce6a7e79ef10a1c.jpg,18
5714,9000dac1467ed4a3fff4d7658bbbf3e4.jpg,70
601,0eb00c6fc429ecc2cf8745a6334594ad.jpg,105
9990,faa111bd776cdece79144aad36558eba.jpg,31
7139,b3211bbd40fb727bdb50fdad2b6c2638.jpg,54
8794,dc99929daa2c14970c44afaf16ff502f.jpg,44
2177,367f56ff7a3beb336ce41cbca60e4eb7.jpg,66
10000,fad30cde8ff696cba83278a55a8de87b.jpg,86
1420,23418e1e584a9ac9e51c1ab2c804c1a7.jpg,119
9462,ed432c00b3109a6ce7abce09d98be1e2.jpg,70
7868,c4b4a3adcb838be6d9d9fb5fd9304101.jpg,73
7912,c5d485d5c12306d060bba17295d3d435.jpg,3
9944,f9bf654be6ec7d1c40935aa397a3edbf.jpg,2
2045,32fdb53b8599afaa5250611473f8e5fb.jpg,42
9022,e29768ede01098a68e5021b453a94ee8.jpg,102
2914,482e38adec95d535eb4677504a82e1a4.jpg,0
3316,5252fae4c7a34c3e3a3971b016af37d3.jpg,47
5998,9741efdd134f5b90d268e671b02f5a3a.jpg,42
4580,726cb4a436dec4b66c87f1e78c4315e1.jpg,84
4180,67fd6f452620bb07abf1d0c171d4c672.jpg,19
5231,83fbbcc9a612e3f712b1ba199da61f20.jpg,107
1355,215de93b31816745d6ceecb1dbe5aea3.jpg,50
7076,b1a81d15f7628ab8d88dbe0ed24924fa.jpg,10
6494,a382982d276e0c26d96dfad7d8c7d696.jpg,85
6255,9e0da33733ad5b0272ac43663a8b0672.jpg,8
3830,5eeb8038933670d5944d8d4b86604f1c.jpg,31
7425,b9e9ce2495d96099fc799022fc074d0b.jpg,0
1629,285b2dd63c5b7835b387818873fe59c1.jpg,66
4361,6cb63ffa3efc65d23687e4415835f1d6.jpg,118
7365,b8956103fc289ab5fe375163c4282228.jpg,109
8712,dac0943bf45a8f3f1a8f374cf72dc50e.jpg,22
10002,fae8e42fae61856a5bd13bd4ac88b8dd.jpg,68
6125,9a5cb9330f48119412b0dbeeb7d092c2.jpg,6
7602,be8c5599351bfc3946cd302da9496d99.jpg,6
3546,582f0cf3443ce340ac67c39bde5a0e02.jpg,21
8612,d84cd331a97cb5ee7d08974724f7055f.jpg,19
2666,41f797c30d45a47de275352e7fae6af7.jpg,30
6317,9f70486e63ac01868d87763df94226ec.jpg,51
5966,96977713e768b5ebf16e3b8b8734736c.jpg,30
5681,8f366598018cc9e785cfbb461b3b01da.jpg,82
3235,503695039f80f78a60d6684d553a303f.jpg,93
5995,973156751af162e836c62bf2634d0220.jpg,95
6376,a0df51e0873ea98da80780648a8fa805.jpg,4
3101,4c92d3e3899d68ba9be2165e646f6024.jpg,27
2777,445b899a96c500ba2f8d6f58879d5649.jpg,28
949,172fcb0b8bbd67401c9e53e5f9bf39bc.jpg,19
4290,6affce874637f58961a26a98183c9241.jpg,84
6288,9ea7f8ae85ab9b6c2e48175978dbaf3e.jpg,30
2655,41ba155b8a13753a17764d73e7e5d6ae.jpg,117
8841,dd9aae7acb992593e07aa905ff4e5ca4.jpg,96
8556,d6bcaac6c121bd89f127f6b839959510.jpg,8
349,085faff5f472098801b371f077b2dc8b.jpg,8
6242,9dc6ab764c94bd20c63fd4efb2bb8aac.jpg,43
5176,82e5e207ea4080bb7bb1cf0371dd38eb.jpg,27
9307,e99886bf590f8e0cb3394f91e8920ae2.jpg,81
1090,1b05bf1d2965886fd12bb67f921fe222.jpg,85
7067,b15e7ec2ce8795370ceb95d99843a85c.jpg,78
2195,37240427c3c54b9d5a9f18982d68ec18.jpg,64
7073,b18a0f00efc8c6e741bf392c4fc34a2b.jpg,29
2258,385dfd666f34212de5fee77893fad23c.jpg,105
9967,fa3bc3e096a2967f26113992b29b23b5.jpg,111
4890,7aafb1cd5aba33e4097e41ea4166ece2.jpg,97
4026,6436d3e3d1473b9a30eaf81c11a20622.jpg,98
1699,2a325864fcc3e8672071f91d08c22467.jpg,20
2124,34e5e9ec00ea38b9109221140042a8fc.jpg,86
8674,d9ab74f0d0afc57158e44c6956883a2d.jpg,10
4125,66c22f37d5db2318dd6a8f8bf0978180.jpg,99
6903,ad4d50d47a14cd8c68a7b474491429cd.jpg,42
5017,7ecd9ea72881883e8a0c708425cb9b2b.jpg,97
2731,43572ba7edf772a95f539e57afd9eb43.jpg,67
4005,6377bbada02c051ff2a7f17c5fb956d5.jpg,43
3349,532467c07fa0a246a136bff2614b6ddf.jpg,43
4736,76d7b339f71872f2301649db866afae7.jpg,52
5039,7f6ca83eb56cde5c9669515c555d9440.jpg,89
471,0b3d3120a62c2bc280f589d473041d06.jpg,19
8111,caa1cc6ebf435bc9f43d8cf32d67d48f.jpg,69
4036,646748df308394b13010087e6c158066.jpg,54
3036,4b0441fb889839417b9bd4929d6ef1e8.jpg,62
6445,a2711924a604f08ad42fc221db25f5bd.jpg,95
2345,3a4b419500915f7dac203d626d1d6061.jpg,64
2072,33ca93ae41a388e66586a7795fef8650.jpg,51
9941,f9b7736812c24f6de73012511303fb28.jpg,106
2469,3d959b06c84553145a4d3da88bfa406f.jpg,3
9939,f9b4e4ed6e77eca2ea940b31e58b408e.jpg,56
4981,7d8583aec106f3b016f07453772da998.jpg,79
9966,fa35207eea3c0d9939c1df7c86222853.jpg,63
4254,6a0c2945c9872f66ec3b57e7a09676f2.jpg,12
9777,f6175a0ef289ef111b225a84240f2e4e.jpg,99
3554,5866ab5e2c16f09bc64834cb51386ce5.jpg,36
6382,a0f4a310216c7d377f90f7cd812c0c3e.jpg,108
10055,fc0d67099704bcf210316e6c31d2f28b.jpg,101
10012,fb211e01f77eedac02e92d6bfeedb3ab.jpg,108
387,095d868f796f86c8258750365a04f2cd.jpg,61
5081,80b930b0a567effa386e18b65601f2f3.jpg,14
4996,7e31a263b3fe36ad702aa0e47925df3b.jpg,51
6192,9c03345af7afb548c2d3fa17116eb825.jpg,86
551,0d8858e722c5f9834ddbdcecbf3cd4d6.jpg,56
6820,ab46c386186878210a528e7b5f7d822f.jpg,78
7808,c3487bbf17be7def166026f875edbdc0.jpg,93
1623,28324516db1ad19c3b33c1b6ad397774.jpg,48
9568,f008c04f6d72140e1c40b8cf6bfa21d1.jpg,74
2867,46d04a7ad0f47ef51b3afee6391f4553.jpg,36
7990,c7c6ff42d5b63555ec23fe5170fdcd90.jpg,21
6592,a5bf14a3b9f161ce9c458e82d823bea3.jpg,98
671,1069587e556525ecf7b3c6def3c096d7.jpg,80
7200,b45ed1800440f35413bd0f2ffaec5003.jpg,3
2962,4922b6cec08b5122cc03abd26064e4da.jpg,38
7219,b4ef4f738cb055e2da9dc32281485e44.jpg,53
8392,d2740bec1cf993472115c0d40ce6c759.jpg,106
3756,5d5a293c8ebe209ebebcf0910c695ea6.jpg,77
8619,d875ddeeafd44e1404b4ce4f376a3922.jpg,93
6175,9b78211f25e38517e749658e8355c024.jpg,42
8160,cc08970afdec42e3c35ecdcb82b88343.jpg,76
2371,3b1780ab4f601495daf2442fc60b5a38.jpg,52
2632,413699c1f7cf1b34520b88324b49643f.jpg,116
5888,94a0cbd51eebabc4e51bd32520298f58.jpg,89
1567,26caaf6663453fab159f7a4217f6d769.jpg,111
3734,5cdd18e46b1877eabfa82bb4c40af15b.jpg,77
4745,77025d2001aabd615d18015a28ef8893.jpg,88
400,0998eda08cdb14648e444c15f06658af.jpg,66
6588,a5b1a215d12786204c5323415433df9b.jpg,16
2135,352893b9735e64f4b0c4faec49f88b0c.jpg,37
6290,9eb2557572aff149c5143e287799b48d.jpg,21
8658,d94ed3afc66a657545fb5eadaa1e0e63.jpg,4
9793,f679cd9c45865bd983920f79a2d85de3.jpg,89
990,1857ac9d2306fc646d4bb817aaa20424.jpg,68
5593,8d5737b4275e379c36e3797400862f6e.jpg,25
2208,376d3388571f462cb7562db11aca6371.jpg,42
1500,251c34f3b527215f0b865a4580bf4e95.jpg,19
4999,7e51be6584255a09aad57cc33e83f68b.jpg,11
8602,d804a278c01fff883a53104d1aabe307.jpg,100
8665,d96c7a1efc7455d533bb2beb4da27896.jpg,108
6063,993d092d60fbdf285c20183c5dcf1832.jpg,83
8858,de1da53a478bd391889a98ee9063c2d7.jpg,102
7810,c351c6388350e97f13e22a482b91c6d2.jpg,30
8823,dd2026cafded2318431c3c78f5026fc9.jpg,4
2544,3f5429aed0055c3e6fa9564c98c32008.jpg,37
3902,60fe89184dbf6612ca2372700ebbc890.jpg,35
1485,24d2e86da970f0c7ab50314a5cb2a5fd.jpg,32
1758,2ba1e0f500b72e3e2abe67bc913b3335.jpg,82
8370,d2148e7b0ddc6d8eb6f5a4794e74c1dd.jpg,37
4337,6c2a583219893f8c5adc7f604f802a54.jpg,0
2017,321ec7b5b262f92282b17618ef48bf49.jpg,112
6652,a7295fb63568fc0b1bfe4900835fc159.jpg,92
1212,1e06d7f87fc2c11ac1c7ae10c10d5e63.jpg,102
2582,4038f45a6b0aa398b80c5aad23f9132c.jpg,40
3045,4b3f4c910479686b10d676f813da0b3f.jpg,70
6261,9e31cc4d5a9f9e240ee8dcd15b2b537d.jpg,80
5254,846d6384787fff8dc17d488e6b86c209.jpg,70
6666,a75a772a44c46e03333878c9cef8d81c.jpg,52
9213,e79578de293a0b46e92448ce8f8bb69f.jpg,99
7756,c2270e9f348520fda98ed82026fcf8a3.jpg,61
2871,46ebb81214e6fb568f5be0495ac7a63e.jpg,19
1824,2d18755cd7a1155c3944910a6dffd377.jpg,63
2070,33bfdc291f229759f2f93edd86125157.jpg,117
10089,fcb2147b7999bfd687d4b87584bb8907.jpg,55
1991,312e131f7bd0a24c7c5766adf4932d97.jpg,21
4958,7cbf5c9694a8b039a2d3b47e64a7f750.jpg,117
3833,5eff19bf1ee8749d98805c5a856a7212.jpg,79
6881,acd58f9a3178e1e0acb60bd00d314e96.jpg,41
9277,e8e9ea1506e0ad9382665b2690ecb4e9.jpg,29
6547,a4c8a08f7738cc7e2eda28aeb44e3468.jpg,104
8989,e1cacd82bce4a66313debf5e883fa806.jpg,102
6891,ad17371333dc89057c529972489ad416.jpg,73
1535,25ea375ae33a9c855b9156570b9844bf.jpg,99
1121,1bfd8c2e444535d3854571985a563837.jpg,17
7574,bdd3210e76208a56f3b9a0505e44296b.jpg,20
7846,c438ce4eba5cce0bc6d11d077ae0e758.jpg,61
9379,eb53813edf96c446e5acaa06c0deca9e.jpg,97
5961,968319ab218a721298197d0819f519ab.jpg,101
3125,4d5d1e37be499fe7250bff7afe97bc5f.jpg,91
1975,30c517ade1f44b96635930c26430fc5e.jpg,80
7732,c19177c750afffa00a7ba5f59ace92be.jpg,47
5810,92cd9b84d46f409747f172060b45200d.jpg,97
846,14acf981af889d9b97d1d46a439228b0.jpg,109
6068,995b2cd115180d93f87a72f7b09715ce.jpg,107
4168,67c04deaaca089fe1127faa09fdc0f9e.jpg,63
5654,8e78fd35123e6824f396ca237700f853.jpg,98
9880,f84472e35734f1c9eb3be0372ba522aa.jpg,51
2509,3e798829f7d4bc1820b4bb7f466a4a87.jpg,82
7041,b091cbf14b893d3c13cea2b1a8cb503f.jpg,52
2178,36910e7d2411ea0595b590564cd1a473.jpg,112
7146,b35c6faadffc04f701df7b07c7944c29.jpg,78
8167,cc3aae66ef2abe212cc5f682e71612ff.jpg,48
2410,3c0da3fd19060310581ecdebc356402f.jpg,115
5054,7ff9004706a91d585b8ec5c70ed661f9.jpg,48
9699,f3f295d33149977b1d67b8a3b6484ea7.jpg,74
2048,3310899b87958d80ff6b668d77144713.jpg,10
2615,40e19b8d649cd395b0cdb27f432841bb.jpg,119
8309,d003186c0ba9adb9fd4407a2f1eb9510.jpg,65
1587,27576fac0bc6f4795852d8767e824237.jpg,87
2964,492a258eb1dd8949d46cd9a65a90585a.jpg,7
6855,ac21b78f89d6939f36effb79104e7758.jpg,92
1886,2e8b303be3212d4085e30c5e0b062c1c.jpg,80
7534,bced7d651d024b5a55b9062f4edca875.jpg,3
690,10ebf7599dd41ded00fd74bdfeada500.jpg,117
